,production_co,count,mean_imdb_rating
1,100 Bares,1,8.2
2,A Band Apart,1,8.3
3,A Steven Haft Production,1,8.1
4,ARTE,1,8.4
5,Act III Communications,1,8.1
6,Amblin Entertainment,1,8.6
7,American Zoetrope,1,9.0
8,Anonymous Content,1,8.1
9,B.H. Finance C.V.,1,8.3
10,Bill/Phillips,1,8.3
11,Blue Parrot,1,8.5
12,Bohra Bros Productions,1,8.2
13,CJ E&M Film Financing & Investment Entertainment & Comics,1,8.4
14,CJ Entertainment,1,8.6
15,Canal+,1,8.5
16,Cinema 86,1,8.1
17,Columbia Pictures,1,8.5
18,Constantin Film,2,8.55
19,Corner Producciones,1,8.1
20,DC Comics,1,8.2
21,DC Entertainment,1,8.4
22,Demarest Films,1,8.1
23,Detour Filmproduction,1,8.1
24,East Japan Marketing & Communications Inc.,1,8.4
25,Egg Pictures,1,8.1
26,Esperanto Filmoj,1,8.2
27,Eurimages,1,8.3
28,FilmNation Entertainment,1,8.1
29,Filmhaus Wien Universa Filmproduktions,1,8.1
30,Forward Pass,1,8.2
31,Fox Searchlight Pictures,1,8.2
32,Gaumont,1,8.1
33,Geopoly,1,8.2
34,Gerber Pictures,1,8.1
35,Ghoulardi Film Company,1,8.2
36,Globo Filmes,1,8.6
37,Groucho Film Partnership,1,8.7
38,Hachiko,1,8.1
39,Hakuhodo,1,8.1
40,Hawk Films,1,8.3
41,Hold Up Films,1,8.1
42,I Remember Productions,1,8.4
43,Imagine Entertainment,2,8.15
44,Incorporated Television Company (ITC),1,8.2
45,Industrial Development Corporation of South Africa,1,8.1
46,Initial Entertainment Group (IEG),1,8.5
47,Innisfree Pictures,1,8.2
48,Into the Wild,1,8.1
49,Jersey Films,1,8.9
50,Kennedy Miller Productions,1,8.1
51,Legendary Entertainment,1,8.6
52,Lightstorm Entertainment,1,8.5
53,Linson Films,1,8.8
54,Long Road Productions,1,8.1
55,Lowndes Productions Limited,1,8.2
56,Légende Entreprises,1,8.2
57,MPA APSA Academy Film Fund,1,8.3
58,Malpaso Productions,1,8.1
59,Marvel Entertainment,1,8.4
60,Miramax,1,8.3
61,Mitsubishi,1,8.2
62,Moving Picture Company (MPC),1,8.1
63,National Film Trustee Company,1,8.2
64,Nevis Productions,1,8.6
65,New Line Cinema,1,8.6
66,New Republic Pictures,1,8.3
67,Newmarket Productions,1,8.5
68,Nibariki,1,8.2
69,Nippon Herald Films,1,8.2
70,Nippon Television Network (NTV),2,8.5
71,Nostromo Pictures,1,8.1
72,Orly Films,1,8.1
73,Paramount Pictures,1,8.5
74,Peregrine,1,8.4
75,Phi Group,1,8.3
76,Pinewood Studios,1,8.3
77,Plan B Entertainment,1,8.1
78,Producers Sales Organization (PSO),1,8.4
79,Radiant Film GmbH,1,8.3
80,Rai 3,1,8.5
81,Reliance Film & Entertainment,1,8.0
82,Right of Way Films,1,8.5
83,SKA Films,1,8.2
84,Scott Free Productions,1,8.5
85,Scott Rudin Productions,1,8.1
86,Sibling Productions,1,8.3
87,Sidus,1,8.1
88,Sikelia Productions,2,8.2
89,Silver Pictures,2,8.2
90,Société Nouvelle Pathé Cinéma,1,8.2
91,Solaris,1,8.2
92,South Pictures,1,8.4
93,Splendid Pictures,1,8.1
94,Studio Babelsberg,2,8.3
95,Sunnyland Film,1,8.4
96,Super Cool ManChu,1,8.1
97,Svensk Filmindustri (SF),1,8.1
98,Syncopy,2,8.9
99,TSG Entertainment,2,8.1
100,The Kennedy/Marshall Company,1,8.1
101,The Noel Gay Motion Picture Company,1,8.1
102,The Princess Bride Ltd.,1,8.0
103,The Saul Zaentz Company,3,8.8
104,The Turman-Morrissey Company,1,8.5
105,This Is That Productions,1,8.3
106,Turnpike Films,1,8.1
107,U-Drive Productions,1,8.5
108,Vera Films,1,8.1
109,Vertigo Entertainment,1,8.1
110,Viacom18 Motion Pictures,1,8.2
111,Victoires Productions,1,8.3
112,Village Roadshow Pictures,1,8.5
113,Walt Disney Pictures,2,8.4
114,Warner Bros.,5,8.26
115,Westdeutscher Rundfunk (WDR),2,8.15
116,Yong Film,1,8.1
