,language,count,mean_imdb_rating
1,American Sign Language,1,8.2
2,Amharic,1,8.4
3,Arabic,3,8.333
4,Belarusian,1,8.3
5,Cantonese,2,8.3
6,Danish,1,8.1
7,English,19,8.268
8,Esperanto,1,8.4
9,French,19,8.263
10,German,20,8.245
11,Hebrew,1,8.9
12,Hmong,1,8.1
13,Hungarian,1,8.5
14,Irish,1,8.1
15,Italian,14,8.421
16,Japanese,7,8.243
17,Latin,6,8.217
18,Mandarin,2,8.6
19,None,1,8.3
20,Norwegian,1,8.1
21,Portuguese,1,8.1
22,Quenya,1,8.9
23,Russian,7,8.257
24,Saami,1,8.2
25,Serbo-Croatian,1,8.2
26,Shanghainese,1,8.1
27,Sindarin,2,8.75
28,Spanish,14,8.293
29,Swahili,1,8.5
30,Vietnamese,3,8.167
31,Yiddish,1,8.1
